"date","co2"
"1958-03-31","316.1"
"1958-04-30","317.2"
"1958-05-31","317.43333333333334"
"1958-06-30","316.54398907103825"
"1958-07-31","315.625"
"1958-08-31","314.95000000000005"
"1958-09-30","313.5"
"1958-10-31","313.46188524590167"
"1958-11-30","313.425"
"1958-12-31","314.7"
"1959-01-31","315.5"
"1959-02-28","316.7"
"1959-03-31","316.73333333333335"
"1959-04-30","317.675"
"1959-05-31","318.325"
"1959-06-30","318.025"
"1959-07-31","316.525"
"1959-08-31","314.9"
"1959-09-30","313.825"
"1959-10-31","313.4"
"1959-11-30","314.875"
"1959-12-31","315.525"
"1960-01-31","316.38"
"1960-02-29","316.975"
