date,co2,observed_week_count,is_imputed
1958-03-31,316.1,1,False
1958-04-30,317.2,4,False
1958-05-31,317.43333333333334,3,False
1958-06-30,317.43333333333334,0,True
1958-07-31,315.625,4,False
1958-08-31,314.95000000000005,4,False
1958-09-30,313.5,1,False
1958-10-31,313.5,0,True
1958-11-30,313.425,4,False
1958-12-31,314.7,4,False
1959-01-31,315.5,5,False
1959-02-28,316.7,3,False
1959-03-31,316.73333333333335,3,False
1959-04-30,317.675,4,False
1959-05-31,318.325,4,False
1959-06-30,318.025,4,False
1959-07-31,316.525,4,False
1959-08-31,314.9,4,False
1959-09-30,313.825,4,False
1959-10-31,313.4,5,False
1959-11-30,314.875,4,False
1959-12-31,315.525,4,False
1960-01-31,316.38,5,False
1960-02-29,316.975,4,False
1960-03-31,317.575,4,False
1960-04-30,319.12,5,False
1960-05-31,319.925,4,False
1960-06-30,319.45,4,False
1960-07-31,318.06,5,False
1960-08-31,315.775,4,False
1960-09-30,314.175,4,False
1960-10-31,313.84000000000003,5,False
1960-11-30,315.025,4,False
1960-12-31,316.2,5,False
1961-01-31,316.925,4,False
1961-02-28,317.65,4,False
1961-03-31,318.525,4,False
1961-04-30,319.41999999999996,5,False
1961-05-31,320.475,4,False
1961-06-30,319.75,4,False
1961-07-31,318.32,5,False
1961-08-31,316.775,4,False
1961-09-30,315.04,5,False
1961-10-31,315.34999999999997,4,False
1961-11-30,316.05,4,False
1961-12-31,316.98,5,False
1962-01-31,317.925,4,False
1962-02-28,318.625,4,False
1962-03-31,319.67999999999995,5,False
1962-04-30,320.55,4,False
1962-05-31,320.9,4,False
1962-06-30,320.5,5,False
1962-07-31,319.425,4,False
1962-08-31,317.73333333333335,3,False
1962-09-30,316.06666666666666,3,False
1962-10-31,315.475,4,False
1962-11-30,316.54999999999995,4,False
1962-12-31,317.52500000000003,4,False
1963-01-31,318.725,4,False
1963-02-28,318.96666666666664,3,False
1963-03-31,319.86,5,False
1963-04-30,321.275,4,False
1963-05-31,322.09999999999997,3,False
1963-06-30,321.46,5,False
1963-07-31,319.6,4,False
1963-08-31,317.6,5,False
1963-09-30,316.15,4,False
1963-10-31,316.05,4,False
1963-11-30,317.0,4,False
1963-12-31,318.35,4,False
1964-01-31,319.40000000000003,3,False
1964-02-29,319.40000000000003,0,True
1964-03-31,319.40000000000003,0,True
1964-04-30,319.40000000000003,0,True
1964-05-31,322.0,1,False
1964-06-30,321.75,2,False
1964-07-31,320.3,4,False
1964-08-31,318.5,4,False
1964-09-30,316.6,4,False
1964-10-31,316.96,5,False
1964-11-30,317.725,4,False
1964-12-31,318.67499999999995,4,False
1965-01-31,319.4,5,False
1965-02-28,320.45,4,False
1965-03-31,320.92499999999995,4,False
1965-04-30,322.0,4,False
1965-05-31,322.06,5,False
1965-06-30,321.775,4,False
1965-07-31,321.03999999999996,5,False
1965-08-31,318.725,4,False
1965-09-30,317.825,4,False
1965-10-31,317.34000000000003,5,False
1965-11-30,318.875,4,False
1965-12-31,319.325,4,False
1966-01-31,320.54,5,False
1966-02-28,321.575,4,False
1966-03-31,322.375,4,False
1966-04-30,323.65999999999997,5,False
1966-05-31,324.025,4,False
1966-06-30,323.7,4,False
1966-07-31,322.85,2,False
1966-08-31,320.20000000000005,4,False
1966-09-30,318.7,4,False
1966-10-31,318.18,5,False
1966-11-30,319.90000000000003,3,False
1966-12-31,321.06000000000006,5,False
1967-01-31,322.4,2,False
1967-02-28,322.425,4,False
1967-03-31,323.0,4,False
1967-04-30,324.28000000000003,5,False
1967-05-31,324.95,4,False
1967-06-30,324.075,4,False
1967-07-31,322.48,5,False
1967-08-31,320.85,4,False
1967-09-30,319.3,5,False
1967-10-31,319.45,4,False
1967-11-30,320.675,4,False
1967-12-31,321.91999999999996,5,False
1968-01-31,322.55,4,False
1968-02-29,323.05,4,False
1968-03-31,323.91999999999996,5,False
1968-04-30,324.975,4,False
1968-05-31,325.475,4,False
1968-06-30,325.26,5,False
1968-07-31,324.025,4,False
1968-08-31,321.93999999999994,5,False
1968-09-30,320.25,4,False
1968-10-31,320.275,4,False
1968-11-30,321.32,5,False
1968-12-31,322.925,4,False
1969-01-31,323.925,4,False
1969-02-28,324.275,4,False
1969-03-31,325.6,5,False
1969-04-30,326.575,4,False
1969-05-31,327.28000000000003,5,False
1969-06-30,326.55,4,False
1969-07-31,325.8,4,False
1969-08-31,323.54,5,False
1969-09-30,322.4,4,False
1969-10-31,321.8,4,False
1969-11-30,322.82,5,False
1969-12-31,324.125,4,False
1970-01-31,325.08000000000004,5,False
1970-02-28,326.025,4,False
1970-03-31,327.0,4,False
1970-04-30,328.075,4,False
1970-05-31,327.91999999999996,5,False
1970-06-30,327.55,4,False
1970-07-31,326.3,4,False
1970-08-31,324.65999999999997,5,False
1970-09-30,323.15,4,False
1970-10-31,323.14,5,False
1970-11-30,324.05,4,False
1970-12-31,325.1,4,False
1971-01-31,326.14,5,False
1971-02-28,326.65,4,False
1971-03-31,327.2,4,False
1971-04-30,327.675,4,False
1971-05-31,328.82,5,False
1971-06-30,328.475,4,False
1971-07-31,327.21999999999997,5,False
1971-08-31,325.25,4,False
1971-09-30,323.4,4,False
1971-10-31,323.54,5,False
1971-11-30,324.825,4,False
1971-12-31,325.925,4,False
1972-01-31,326.72,5,False
1972-02-29,327.625,4,False
1972-03-31,327.725,4,False
1972-04-30,329.64,5,False
1972-05-31,330.0,4,False
1972-06-30,329.075,4,False
1972-07-31,328.04,5,False
1972-08-31,326.25,4,False
1972-09-30,324.86,5,False
1972-10-31,325.3,4,False
1972-11-30,326.425,4,False
1972-12-31,327.54,5,False
1973-01-31,328.55,4,False
1973-02-28,329.475,4,False
1973-03-31,330.38,5,False
1973-04-30,331.575,4,False
1973-05-31,332.4,4,False
1973-06-30,331.94,5,False
1973-07-31,330.65,4,False
1973-08-31,329.325,4,False
1973-09-30,327.5,5,False
1973-10-31,327.225,4,False
1973-11-30,328.05,4,False
1973-12-31,328.64,5,False
1974-01-31,329.325,4,False
1974-02-28,330.625,4,False
1974-03-31,331.5,5,False
1974-04-30,332.625,4,False
1974-05-31,332.975,4,False
1974-06-30,332.15999999999997,5,False
1974-07-31,331.075,4,False
1974-08-31,329.21999999999997,5,False
1974-09-30,327.375,4,False
1974-10-31,327.375,4,False
1974-11-30,328.4,5,False
1974-12-31,329.675,4,False
1975-01-31,330.25,4,False
1975-02-28,331.3,4,False
1975-03-31,332.0,5,False
1975-04-30,333.275,4,False
1975-05-31,333.86,5,False
1975-06-30,333.4,4,False
1975-07-31,331.8,4,False
1975-08-31,329.98,5,False
1975-09-30,328.525,4,False
1975-10-31,328.325,4,False
